Name,Y,X
Bahnhof Altstetten,47.3913989190201,8.48976559349163
Bahnhof Enge,47.3645589454512,8.53045998469766
Bahnhof Hardbrücke,47.3852583351154,8.51719575320819
Bahnhof Oerlikon,47.411380224112,8.54289439273848
Bahnhof Tiefenbrunnen,47.3497451993508,8.56204486637761
Bahnhof Wiedikon,47.3712954244682,8.52380560224667
Bellevue,47.3669957755277,8.54501270100631
Bucheggplatz,47.3982260534451,8.53343311509651
Chinagarten,47.3549010206878,8.55193808874303
Escher-Wyss-Platz,47.3907887128298,8.52264660604317
ETH Hauptgebäude,47.3765348626132,8.54859002136119
ETH Hönggerberg,47.4085582989505,8.50762262398762
Freilager,47.3806449416599,8.48923580159645
Goldbrunnenplatz,47.3702565716883,8.51389756661418
Hardturm,47.3937626135558,8.505400040676
Helvetiaplatz,47.3760776100868,8.52683359238922
HB Zürich,47.3778377259357,8.54069321737146
Letzigrund,47.3812584176124,8.50359958532033
Limmatplatz,47.3845904533419,8.53164271555278
Lochergut,47.3757988734198,8.51750678685044
Manesseplatz,47.3654177598877,8.5216445211463
Meierhofplatz,47.401885049539,8.49981095184262
Milchbuck,47.3979425942517,8.54199510787187
Paradeplatz,47.3697180224204,8.53907346650111
Römerhof,47.3680777075164,8.5604144720935
Seilbahn Rigiblick,47.3857079440597,8.5486068153063
Rote Fabrik,47.3429830139984,8.53601858333468
Schaffhauserplatz,47.3917629704004,8.53872106494817
Schlieren Bahnhof,47.399469994516,8.44863077305423
Sihlcity,47.3596054565248,8.52263325312498
Stettbach,47.3970658050917,8.59612081647685
Triemli,47.3678641432939,8.49554624544363
Werdinsel,47.3995843137036,8.4888126622595
Zehntenhausplatz,47.4190919592736,8.50646249899415
Zoo (Tram),47.3817316549945,8.57144790434218
Badi Mythenquai,47.3548621786393,8.53510946234839
